"time","tank2.level"
27.6,0.0003406392802417252
27.66,0.0003418004723226478
27.72,0.0003429616644035704
27.78,0.0003441228564844931
27.84,0.0003452840485654156
27.9,0.0003464452406463383
27.96,0.0003476064327272609
28.02,0.0003487676248081835
28.08,0.0003499288168891061
28.14,0.0003510900089700288
28.2,0.0003522512010509514
28.26,0.0003534123931318741
28.32,0.0003545735852127966
28.38,0.0003557347772937192
28.44,0.0003568959693746419
28.5,0.0003580571614555645
28.56,0.0003592183535364871
28.62,0.0003603795456174097
28.68,0.0003615407376983324
28.74,0.0003627019297792549
28.8,0.0003638631218601776
28.86,0.0003650243139411002
28.92,0.0003661855060220229
28.98,0.0003673466981029455
29.04,0.000368507890183868
29.1,0.0003696690822647907
29.16,0.0003708302743457133
29.22,0.0003719912740510729
29.28,0.0003731522507708151
29.34,0.0003743132274905572
29.4,0.0003754742042102993
29.46,0.0003766351809300415
29.52,0.0003777961576497835
29.58,0.0003789571343695257
29.64,0.0003801181110892678
29.7,0.0003812790878090099
29.76,0.0003824400645287521
29.82,0.0003836010412484942
29.88,0.0003847620179682363
29.94,0.0003859229946879784
30,0.0003870839714077206
30,0.0003870839714077206
